06-11-2005,5,0.3,0,0
01-29-2007,73,4.4,10,0.6
03-17-2007,25,1.51,10,0.6
05-24-2007,23,1.39,6,0.36
07-04-2007,54,3.25,8,0.48
12-10-2007,43,2.59,9,0.54
01-22-2008,27,1.63,9,0.54
03-13-2008,21,1.27,10,0.6
01-22-2009,21,1.27,7,0.42
03-06-2009,33,1.99,4,0.24
01-28-2010,45,2.71,9,0.54
03-25-2010,25,1.51,7,0.42
05-21-2010,18,1.08,1,0.06
06-12-2010,15,0.9,2,0.12
02-28-2011,7,0.42,3,0.18
05-11-2011,22,1.33,3,0.18
05-21-2011,15,0.9,6,0.36
06-20-2011,29,1.75,5,0.3
05-12-2012,16,0.96,4,0.24
02-24-2014,0,0,0,0
05-21-2014,0,0,0,0
02-17-2015,2,0.12,2,0.12
03-16-2015,2,0.12,1,0.06
03-25-2015,1,0.06,1,0.06
04-11-2016,2,0.12,1,0.06
12-12-2016,12,0.72,4,0.24
05-01-2017,13,0.78,1,0.06
05-31-2017,8,0.48,1,0.06
04-20-2018,20,1.2,5,0.3
04-25-2019,11,0.66,12,0.72
11-13-2019,19,1.14,9,0.54
02-07-2020,36,2.17,16,0.96
02-20-2020,32,1.93,12,0.72
06-25-2020,40,2.41,13,0.78
11-13-2020,21,1.27,3,0.18
02-25-2021,26,1.57,10,0.6
03-26-2021,35,2.11,14,0.84
07-12-2021,33,1.99,11,0.66
11-03-2021,41,2.47,15,0.9
12-05-2022,41,2.47,14,0.84
04-13-2023,29,1.75,18,1.08
